obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""3.225441""","=""0.000009""","=""""","=""2.63e+10""",A,"=""(1343.83638)""","=""(1728.2309)""","=""1s.2s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
"=""""","=""3.330423""","=""0.000010""","=""""","=""4.17e+10""",A,"=""(1343.83638)""","=""(1716.1140)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
"=""""","=""3.402241""","=""0.000010""","=""""","=""7.50e+10""",A,"=""(1331.11204)""","=""(1695.5312)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T5231c4,LS""","=""""",
"=""""","=""3.402505""","=""0.000010""","=""""","=""7.49e+10""",A,"=""(1331.11204)""","=""(1695.5030)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.402573""","=""0.000010""","=""""","=""7.50e+10""",A,"=""(1331.11204)""","=""(1695.4957)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",3,1,,"=""T5231c4,LS""","=""""",
"=""""","=""3.513231""","=""0.000025""","=""""","=""8.16e+10""",A,"=""(1342.995806)""","=""(1695.9022)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.514259""","=""0.000025""","=""""","=""6.10e+10""",A,"=""(1343.098984)""","=""(1695.9022)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.514242""","=""0.000025""","=""""","=""1.10e+11""",A,"=""(1343.098984)""","=""(1695.9040)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5231c4,LS""","=""""",
"=""""","=""3.51857""","=""0.00003""","=""""","=""1.46e+11""",A,"=""(1343.541917)""","=""(1695.913)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5231c4,LS""","=""""",
"=""""","=""3.518677""","=""0.000025""","=""""","=""4.06e+09""",A,"=""(1343.541917)""","=""(1695.9022)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.518659""","=""0.000025""","=""""","=""3.66e+10""",A,"=""(1343.541917)""","=""(1695.9040)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5231c4,LS""","=""""",
"=""""","=""3.520388""","=""0.000011""","=""""","=""7.19e+10""",A,"=""(1343.83638)""","=""(1696.0254)""","=""1s.2s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
"=""""","=""3.524049""","=""0.000024""","=""""","=""2.65e+09""",A,"=""(1342.995806)""","=""(1694.8190)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",1,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.525082""","=""0.000024""","=""""","=""7.94e+09""",A,"=""(1343.098984)""","=""(1694.8190)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.529527""","=""0.000024""","=""""","=""1.32e+10""",A,"=""(1343.541917)""","=""(1694.8190)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",5,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.607428""","=""0.000023""","=""""","=""1.34e+11""",A,"=""(1352.248484)""","=""(1695.9399)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T5231c4""","=""""",
"=""""","=""3.612021""","=""0.000025""","=""""","=""2.27e+10""",A,"=""(1352.248484)""","=""(1695.5029)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",3,1,,"=""T5231c4""","=""""",
"=""""","=""3.791843""","=""0.000013""","=""""","=""1.46e+11""",A,"=""(1331.11204)""","=""(1658.0881)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T5231c4,LS""","=""""",
"=""""","=""3.792484""","=""0.000013""","=""""","=""1.46e+11""",A,"=""(1331.11204)""","=""(1658.0329)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.792648""","=""0.000013""","=""""","=""1.46e+11""",A,"=""(1331.11204)""","=""(1658.0187)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T5231c4,LS""","=""""",
"=""""","=""3.92572""","=""0.00003""","=""""","=""1.76e+11""",A,"=""(1342.995806)""","=""(1658.8208)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",1,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3.92701""","=""0.00003""","=""""","=""1.32e+11""",A,"=""(1343.098984)""","=""(1658.8208)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""3.9278""","=""3.92697""","=""0.00003""","=""3""","=""2.38e+11""",A,"=""(1343.098984)""","=""(1658.8238)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T5231c4,LS""","=""L10489""",
