obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""35970""","=""""","=""2.39e+01""",E,"=""7.029935""","=""7.0644034""","=""3s2.3p.4d""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3D""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""36090.5""","=""""","=""4.17e+03""",B,"=""7.0055221""","=""7.0398757""","=""3s2.3p.4d""","=""1D*""","=""2""","=""3s2.3p.5p""","=""1P""","=""1""",5,3,,"=""T6066""","=""""",
"=""""","=""37392""","=""""","=""6.21e+04""",B,"=""7.8747985""","=""7.907956""","=""3s2.3p.7d""","=""3F*""","=""4""","=""3s2.3p.(2P*<3/2>).7f""","=""2[9/2]""","=""5""",9,11,,"=""T6066LS'""","=""""",
"=""""","=""39595.6""","=""""","=""3.88e+02""",C+,"=""7.0916515""","=""7.1229641""","=""3s2.3p.5p""","=""3D""","=""3""","=""3s2.3p.4d""","=""3F*""","=""3""",7,7,,"=""T6066LS""","=""""",
"=""""","=""40837""","=""""","=""2.19e+01""",E,"=""7.034043""","=""7.0644034""","=""3s2.3p.4d""","=""3P*""","=""0""","=""3s2.3p.5p""","=""3D""","=""1""",1,3,,"=""T6066LS""","=""""",
"=""""","=""44811.5""","=""""","=""3.49e-10""",D+,"=""0.0000000""","=""0.0276679""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""3P""","=""2""",1,5,E2,"=""c22""","=""""",
"=""""","=""45836""","=""""","=""1.70e+03""",C,"=""7.882339""","=""7.909388""","=""3s2.3p.7d""","=""3D*""","=""2""","=""3s2.3p.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""46153""","=""""","=""4.53e+03""",D+,"=""7.882525""","=""7.909388""","=""3s2.3p.(2P*<1/2>).9s<1/2>""","=""(1/2,1/2)*""","=""0""","=""3s2.3p.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",1,3,,"=""T6066LS'""","=""""",
"=""""","=""47400""","=""""","=""7.62e+02""",B,"=""7.783107""","=""7.809264""","=""3s2.3p.6d""","=""3D*""","=""2""","=""3s2.3p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""49996""","=""""","=""2.63e+02""",C+,"=""7.618564""","=""7.6433624""","=""3s2.3p.5d""","=""3D*""","=""2""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",5,5,,"=""T6066LS'""","=""""",
"=""""","=""51529""","=""""","=""6.01e+01""",C,"=""7.6433624""","=""7.667423""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","=""3s2.3p.5d""","=""3P*""","=""2""",5,5,,"=""T6066LS'""","=""""",
"=""""","=""57382.2""","=""""","=""5.02e+00""",D,"=""7.0916515""","=""7.1132583""","=""3s2.3p.5p""","=""3D""","=""3""","=""3s2.3p.4d""","=""3F*""","=""2""",7,5,,"=""T6066LS""","=""""",
