obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""157.559""","=""0.001""","=""157.560+""","=""8""","=""""",,"=""21.19976""","=""29.06879""","=""5s2.5p.(2P*).5d""","=""3P*""","=""2""","=""5s2.5p.(2P*).6p""","=""3P""","=""1""",5,3,,"=""""","=""L7287""",
"=""159.609""","=""0.001""","=""159.606+""","=""2""","=""""",,"=""22.58585""","=""30.35397""","=""5s2.5p.(2P*).5d""","=""3D*""","=""3""","=""5s2.5p.(2P*).6p""","=""3P""","=""2""",7,5,,"=""""","=""L11113""",
"=""160.741""","=""0.001""","=""160.740+""","=""7""","=""""",,"=""22.44167""","=""30.15500""","=""5s2.5p.(2P*).5d""","=""3D*""","=""2""","=""5s2.5p.(2P*).6p""","=""1P""","=""1""",5,3,,"=""""","=""L7287""",
"=""161.011""","=""0.001""","=""161.012+""","=""3""","=""""",,"=""21.45816""","=""29.15847""","=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""5s2.5p.(2P*).6p""","=""3D""","=""2""",3,5,,"=""""","=""L7287""",
"=""162.441""","=""0.001""","=""162.444+""","=""8""","=""""",,"=""18.07776""","=""25.71019""","=""5s.5p3""","=""1D*""","=""2""","=""5s2.5p.(2P*).4f""","=""3D""","=""2""",5,5,,"=""""","=""L7287""",
"=""162.908""","=""0.001""","=""162.909+""","=""2""","=""""",,"=""21.45816""","=""29.06879""","=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""5s2.5p.(2P*).6p""","=""3P""","=""1""",3,3,,"=""""","=""L7287""",
"=""164.133""","=""0.001""","=""164.129+""","=""1""","=""""",,"=""21.45816""","=""29.01222""","=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""5s2.5p.(2P*).6p""","=""3P""","=""0""",3,1,,"=""""","=""L11113""",
"=""164.814""","=""0.001""","=""164.816+""","=""6""","=""""",,"=""22.83139""","=""30.35397""","=""5s2.5p.(2P*).5d""","=""3P*""","=""1""","=""5s2.5p.(2P*).6p""","=""3P""","=""2""",3,5,,"=""""","=""L7287""",
"=""165.526""","=""0.001""","=""165.527+""","=""8""","=""""",,"=""23.03564""","=""30.52590""","=""5s2.5p.(2P*).5d""","=""1D*""","=""2""","=""5s2.5p.(2P*).6p""","=""3D""","=""3""",5,7,,"=""""","=""L7287""",
"=""166.800""","=""0.001""","=""166.801+""","=""12""","=""""",,"=""18.07776""","=""25.51084""","=""5s.5p3""","=""1D*""","=""2""","=""5s2.5p.(2P*).4f""","=""3D""","=""3""",5,7,,"=""""","=""L7287""",
"=""167.551""","=""0.001""","=""167.551+""","=""10""","=""""",,"=""24.79176""","=""32.19154""","=""5s2.5p.(2P*).5d""","=""1P*""","=""1""","=""5s2.5p.(2P*).6p""","=""1S""","=""0""",3,1,,"=""""","=""L7287""",
"=""169.291""","=""0.001""","=""169.294+""","=""7""","=""""",,"=""22.83139""","=""30.15500""","=""5s2.5p.(2P*).5d""","=""3P*""","=""1""","=""5s2.5p.(2P*).6p""","=""1P""","=""1""",3,3,,"=""""","=""L7287""",
"=""171.252""","=""0.001""","=""171.255+""","=""10""","=""""",,"=""21.03672""","=""28.27644""","=""5s.5p3""","=""1P*""","=""1""","=""5s2.5p.(2P*).6p""","=""3D""","=""1""",3,3,,"=""""","=""L7287""",
"=""174.150""","=""0.001""","=""174.151+""","=""3""","=""""",,"=""23.03564""","=""30.15500""","=""5s2.5p.(2P*).5d""","=""1D*""","=""2""","=""5s2.5p.(2P*).6p""","=""1P""","=""1""",5,3,,"=""""","=""L7287""",
"=""175.352""","=""0.001""","=""175.352+""","=""6""","=""""",,"=""16.68520""","=""23.75581""","=""5s.5p3""","=""3P*""","=""1""","=""5s2.5p.(2P*).4f""","=""3F""","=""2""",3,5,,"=""""","=""L7287""",
"=""177.544""","=""0.001""","=""177.543+""","=""6""","=""""",,"=""24.08181""","=""31.06513""","=""5s2.5p.(2P*).6s""","=""3P*""","=""1""","=""5s2.5p.(2P*).6p""","=""1D""","=""2""",3,5,,"=""""","=""L7287""",
"=""178.205""","=""0.001""","=""178.205+""","=""8""","=""""",,"=""19.91563""","=""26.87303""","=""5s2.5p.(2P*).5d""","=""3F*""","=""3""","=""5s2.5p.(2P*).4f""","=""1D""","=""2""",7,5,,"=""""","=""L7287""",
"=""181.840""","=""0.001""","=""181.841+""","=""5""","=""""",,"=""21.45816""","=""28.27644""","=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""5s2.5p.(2P*).6p""","=""3D""","=""1""",3,3,,"=""""","=""L7287""",
"=""184.491""","=""0.001""","=""184.491+""","=""9""","=""""",,"=""18.07776""","=""24.79810""","=""5s.5p3""","=""1D*""","=""2""","=""5s2.5p.(2P*).4f""","=""1F""","=""3""",5,7,,"=""""","=""L7287""",
"=""184.587""","=""0.001""","=""184.588+""","=""5""","=""""",,"=""22.44167""","=""29.15847""","=""5s2.5p.(2P*).5d""","=""3D*""","=""2""","=""5s2.5p.(2P*).6p""","=""3D""","=""2""",5,5,,"=""""","=""L7287""",
"=""186.262""","=""0.001""","=""186.264+""","=""6""","=""""",,"=""19.91563""","=""26.57201""","=""5s2.5p.(2P*).5d""","=""3F*""","=""3""","=""5s2.5p.(2P*).4f""","=""1G""","=""4""",7,9,,"=""""","=""L7287""",
"=""187.087""","=""0.001""","=""187.086+""","=""4""","=""""",,"=""22.44167""","=""29.06879""","=""5s2.5p.(2P*).5d""","=""3D*""","=""2""","=""5s2.5p.(2P*).6p""","=""3P""","=""1""",5,3,,"=""""","=""L7287""",
"=""189.379""","=""0.001""","=""189.380+""","=""3""","=""""",,"=""19.40437""","=""25.95122""","=""5s2.5p.(2P*).5d""","=""3F*""","=""2""","=""5s2.5p.(2P*).4f""","=""3D""","=""1""",5,3,,"=""""","=""L7287""",
"=""192.049""","=""0.001""","=""192.049+""","=""2""","=""""",,"=""24.07004""","=""30.52590""","=""5s2.5p.(2P*).5d""","=""1F*""","=""3""","=""5s2.5p.(2P*).6p""","=""3D""","=""3""",7,7,,"=""""","=""L7287""",
