Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s.2p3.(5S*).3p""","=""6P""","=""5/2""",6,"=""""","=""33.199928""","=""+x""","=""""","="""""
"=""2s.2p3.(5S*).3p""","=""6P""","=""7/2""",8,"=""""","=""33.201492""","=""+x""","=""""","="""""
"=""2s2.2p2.(3P).6p""","=""2S*""","=""1/2""",2,"=""""","=""33.27361""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6p""","=""4D*""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6p""","=""4D*""","=""3/2""",4,"=""""","=""33.28549""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6p""","=""4D*""","=""5/2""",6,"=""""","=""33.295647""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6p""","=""4D*""","=""7/2""",8,"=""""","=""33.31357""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6p""","=""4P*""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6p""","=""4P*""","=""3/2""",4,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6p""","=""4P*""","=""5/2""",6,"=""""","=""33.32478""","=""?""","=""""","="""""
"=""2s2.2p2.(3P<0>).6g""","=""2[4]""","=""7/2""",8,"=""""","=""33.608192""","=""""","=""""","="""""
"=""2s2.2p2.(3P<0>).6g""","=""2[4]""","=""9/2""",10,"=""""","=""33.608197""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).6g""","=""2[4]""","=""9/2""",10,"=""""","=""33.621024""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).6g""","=""2[4]""","=""7/2""",8,"=""""","=""33.621024""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).6g""","=""2[5]""","=""9/2""",10,"=""""","=""33.622639""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).6g""","=""2[5]""","=""11/2""",12,"=""""","=""33.622665""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).6g""","=""2[3]""","=""5/2""",6,"=""""","=""33.623017""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).6g""","=""2[3]""","=""7/2""",8,"=""""","=""33.623032""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).6g""","=""2[2]""","=""5/2""",6,"=""""","=""33.644428""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).6g""","=""2[2]""","=""3/2""",4,"=""""","=""33.644428""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).6g""","=""2[6]""","=""11/2""",12,"=""""","=""33.645307""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).6g""","=""2[6]""","=""13/2""",14,"=""""","=""33.645318""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).6g""","=""2[3]""","=""7/2""",8,"=""""","=""33.646271""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).6g""","=""2[3]""","=""5/2""",6,"=""""","=""33.646287""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).6g""","=""2[4]""","=""7/2""",8,"=""""","=""33.647408""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).6g""","=""2[4]""","=""9/2""",10,"=""""","=""33.647427""","=""""","=""""","="""""
