obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""22.4988""","=""0.0009""","=""""","=""1.893e+10""",AA,"=""(1071.7672)""","=""(1126.8743)""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""22.4340""","=""0.0007""","=""""","=""1.859e+10""",AA,"=""(1071.8138)""","=""(1127.0801)""","=""1s.3s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""22.5183""","=""0.0009""","=""""","=""4.53e+10""",AA,"=""(1071.8243)""","=""(1126.8836)""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T7543LS""","=""""",
"=""""","=""22.5214""","=""0.0008""","=""""","=""1.133e+10""",AA,"=""(1071.8243)""","=""(1126.8759)""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T7543LS""","=""""",
"=""""","=""22.5221""","=""0.0009""","=""""","=""1.258e+09""",AA,"=""(1071.8243)""","=""(1126.8743)""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""22.7491""","=""0.0007""","=""""","=""7.95e+06""",AA,"=""(1071.7672)""","=""(1126.2679)""","=""1s.3p""","=""3P*""","=""1""","=""1s.4s""","=""1S""","=""0""",3,1,,"=""T7543""","=""""",
"=""""","=""22.7706""","=""0.0007""","=""""","=""1.399e+07""",AA,"=""(1071.8138)""","=""(1126.2629)""","=""1s.3s""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""23.1398""","=""0.0012""","=""""","=""6.95e+10""",AA,"=""(1073.3429)""","=""(1126.923)""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""1F*""","=""3""",5,7,,"=""T7543""","=""""",
"=""""","=""23.2118""","=""0.0007""","=""""","=""1.771e+09""",AA,"=""(1071.7548)""","=""(1125.1691)""","=""1s.3p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,,"=""T7543LS""","=""""",
"=""""","=""23.2172""","=""0.0007""","=""""","=""5.31e+09""",AA,"=""(1071.7672)""","=""(1125.1691)""","=""1s.3p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""23.2420""","=""0.0007""","=""""","=""8.82e+09""",AA,"=""(1071.8243)""","=""(1125.1691)""","=""1s.3p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""23.0723""","=""0.0005""","=""""","=""2.085e+09""",AA,"=""(1073.3429)""","=""(1127.0801)""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""1P*""","=""1""",5,3,,"=""T7543""","=""""",
"=""""","=""23.3788""","=""0.0005""","=""""","=""2.74e+07""",AA,"=""(1073.2542)""","=""(1126.2870)""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""23.3800""","=""0.0005""","=""""","=""4.10e+08""",AA,"=""(1073.2570)""","=""(1126.2870)""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""2""",5,5,,"=""T7543LS""","=""""",
"=""""","=""23.3894""","=""0.0005""","=""""","=""6.84e+08""",AA,"=""(1073.2542)""","=""(1126.2629)""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""23.3885""","=""0.0005""","=""""","=""2.297e+09""",AA,"=""(1073.2761)""","=""(1126.2870)""","=""1s.3d""","=""3D""","=""3""","=""1s.4p""","=""3P*""","=""2""",7,5,,"=""T7543LS""","=""""",
"=""""","=""23.3918""","=""0.0005""","=""""","=""2.73e+09""",AA,"=""(1073.2542)""","=""(1126.2575)""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T7543LS""","=""""",
"=""""","=""23.3906""","=""0.0005""","=""""","=""2.049e+09""",AA,"=""(1073.2570)""","=""(1126.2629)""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""23.6100""","=""0.0007""","=""""","=""1.460e+10""",AA,"=""(1073.7544)""","=""(1126.2679)""","=""1s.3p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",3,1,,"=""T7543""","=""""",
"=""""","=""31.1232""","=""0.0013""","=""""","=""2.76e+09""",AA,"=""(1125.1691)""","=""(1165.0057)""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""31.1287""","=""0.0013""","=""""","=""2.76e+09""",AA,"=""(1125.1691)""","=""(1164.9986)""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T7543LS""","=""""",
